val_test_id,val_test_split,dev_id,topic,token_jaccard,sequence_similarity,structural_similarity,family_1,family_2
vct-361,validation,vct-001,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-student-profile
vct-361,validation,vct-011,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-bank-account
vct-361,validation,vct-021,class_object,1.0,1.0,1.0,fam-parking-lot,fam-product-inventory
vct-361,validation,vct-031,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-employee-payroll
vct-361,validation,vct-041,class_object,1.0,1.0,1.0,fam-parking-lot,fam-library-book
vct-361,validation,vct-051,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-car-odometer
vct-361,validation,vct-061,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-rectangle-geometry
vct-361,validation,vct-071,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-circle-geometry
vct-361,validation,vct-081,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-bank-card
vct-361,validation,vct-091,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-customer-order
vct-361,validation,vct-101,class_object,1.0,1.0,1.0,fam-parking-lot,fam-course-enrollment
vct-361,validation,vct-111,class_object,1.0,1.0,1.0,fam-parking-lot,fam-shopping-cart
vct-361,validation,vct-121,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-temperature-sensor
vct-361,validation,vct-131,class_object,1.0,1.0,1.0,fam-parking-lot,fam-smartphone-battery
vct-361,validation,vct-141,class_object,1.0,1.0,1.0,fam-parking-lot,fam-pet-care
vct-361,validation,vct-151,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-flight-ticket
vct-361,validation,vct-161,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-hotel-room
vct-361,validation,vct-171,class_object,1.0,1.0,1.0,fam-parking-lot,fam-movie-ticket
vct-361,validation,vct-181,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-wallet-balance
vct-361,validation,vct-191,class_object,1.0,1.0,1.0,fam-parking-lot,fam-timer-stopwatch
vct-361,validation,vct-201,class_object,1.0,1.0,1.0,fam-parking-lot,fam-game-character
vct-361,validation,vct-211,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-vehicle-speed
vct-361,validation,vct-221,class_object,1.0,1.0,1.0,fam-parking-lot,fam-laptop-spec
vct-361,validation,vct-231,class_object,1.0,1.0,1.0,fam-parking-lot,fam-music-track
vct-361,validation,vct-241,class_object,1.0,1.0,1.0,fam-parking-lot,fam-classroom-seat
vct-361,validation,vct-251,class_object,1.0,1.0,1.0,fam-parking-lot,fam-medical-record
vct-361,validation,vct-261,class_object,1.0,1.0,1.0,fam-parking-lot,fam-coffee-order
vct-361,validation,vct-271,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-vending-machine
vct-361,validation,vct-281,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-parcel-shipping
vct-361,validation,vct-291,class_object,1.0,1.0,1.0,fam-parking-lot,fam-elevator-controller
vct-361,validation,vct-301,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-thermostat-climate
vct-361,validation,vct-311,class_object,1.0,1.0,1.0,fam-parking-lot,fam-fitness-tracker
vct-361,validation,vct-321,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-recipe-ingredient
vct-361,validation,vct-331,class_object,1.0,1.0,1.0,fam-parking-lot,fam-task-todo
vct-361,validation,vct-341,class_object,0.9286,0.9799,0.9542,fam-parking-lot,fam-saving-deposit
vct-361,validation,vct-351,class_object,0.9286,0.9819,0.9552,fam-parking-lot,fam-drone-flight
vct-362,validation,vct-002,field_property,1.0,1.0,1.0,fam-parking-lot,fam-student-profile
vct-362,validation,vct-012,field_property,1.0,1.0,1.0,fam-parking-lot,fam-bank-account
vct-362,validation,vct-022,field_property,1.0,1.0,1.0,fam-parking-lot,fam-product-inventory
vct-362,validation,vct-032,field_property,1.0,1.0,1.0,fam-parking-lot,fam-employee-payroll
vct-362,validation,vct-042,field_property,1.0,1.0,1.0,fam-parking-lot,fam-library-book
vct-362,validation,vct-052,field_property,1.0,1.0,1.0,fam-parking-lot,fam-car-odometer
vct-362,validation,vct-062,field_property,1.0,1.0,1.0,fam-parking-lot,fam-rectangle-geometry
vct-362,validation,vct-072,field_property,1.0,1.0,1.0,fam-parking-lot,fam-circle-geometry
vct-362,validation,vct-082,field_property,1.0,1.0,1.0,fam-parking-lot,fam-bank-card
vct-362,validation,vct-092,field_property,1.0,1.0,1.0,fam-parking-lot,fam-customer-order
vct-362,validation,vct-102,field_property,1.0,1.0,1.0,fam-parking-lot,fam-course-enrollment
vct-362,validation,vct-112,field_property,1.0,1.0,1.0,fam-parking-lot,fam-shopping-cart
vct-362,validation,vct-122,field_property,1.0,1.0,1.0,fam-parking-lot,fam-temperature-sensor
vct-362,validation,vct-132,field_property,1.0,1.0,1.0,fam-parking-lot,fam-smartphone-battery
