val_test_id,val_test_split,dev_id,topic,token_jaccard,sequence_similarity,structural_similarity,family_1,family_2
vct-361,validation,vct-021,class_object,1.0,1.0,1.0,fam-parking-lot,fam-product-inventory
vct-361,validation,vct-041,class_object,1.0,1.0,1.0,fam-parking-lot,fam-library-book
vct-361,validation,vct-101,class_object,1.0,1.0,1.0,fam-parking-lot,fam-course-enrollment
vct-361,validation,vct-111,class_object,1.0,1.0,1.0,fam-parking-lot,fam-shopping-cart
vct-361,validation,vct-131,class_object,1.0,1.0,1.0,fam-parking-lot,fam-smartphone-battery
vct-361,validation,vct-141,class_object,1.0,1.0,1.0,fam-parking-lot,fam-pet-care
vct-361,validation,vct-171,class_object,1.0,1.0,1.0,fam-parking-lot,fam-movie-ticket
vct-361,validation,vct-191,class_object,1.0,1.0,1.0,fam-parking-lot,fam-timer-stopwatch
vct-361,validation,vct-201,class_object,1.0,1.0,1.0,fam-parking-lot,fam-game-character
vct-361,validation,vct-221,class_object,1.0,1.0,1.0,fam-parking-lot,fam-laptop-spec
vct-361,validation,vct-231,class_object,1.0,1.0,1.0,fam-parking-lot,fam-music-track
vct-361,validation,vct-241,class_object,1.0,1.0,1.0,fam-parking-lot,fam-classroom-seat
vct-361,validation,vct-251,class_object,1.0,1.0,1.0,fam-parking-lot,fam-medical-record
vct-361,validation,vct-261,class_object,1.0,1.0,1.0,fam-parking-lot,fam-coffee-order
vct-361,validation,vct-291,class_object,1.0,1.0,1.0,fam-parking-lot,fam-elevator-controller
vct-361,validation,vct-311,class_object,1.0,1.0,1.0,fam-parking-lot,fam-fitness-tracker
vct-361,validation,vct-331,class_object,1.0,1.0,1.0,fam-parking-lot,fam-task-todo
vct-362,validation,vct-002,field_property,1.0,1.0,1.0,fam-parking-lot,fam-student-profile
vct-362,validation,vct-012,field_property,1.0,1.0,1.0,fam-parking-lot,fam-bank-account
vct-362,validation,vct-022,field_property,1.0,1.0,1.0,fam-parking-lot,fam-product-inventory
vct-362,validation,vct-032,field_property,1.0,1.0,1.0,fam-parking-lot,fam-employee-payroll
vct-362,validation,vct-042,field_property,1.0,1.0,1.0,fam-parking-lot,fam-library-book
vct-362,validation,vct-052,field_property,1.0,1.0,1.0,fam-parking-lot,fam-car-odometer
vct-362,validation,vct-062,field_property,1.0,1.0,1.0,fam-parking-lot,fam-rectangle-geometry
vct-362,validation,vct-072,field_property,1.0,1.0,1.0,fam-parking-lot,fam-circle-geometry
vct-362,validation,vct-082,field_property,1.0,1.0,1.0,fam-parking-lot,fam-bank-card
vct-362,validation,vct-092,field_property,1.0,1.0,1.0,fam-parking-lot,fam-customer-order
vct-362,validation,vct-102,field_property,1.0,1.0,1.0,fam-parking-lot,fam-course-enrollment
vct-362,validation,vct-112,field_property,1.0,1.0,1.0,fam-parking-lot,fam-shopping-cart
vct-362,validation,vct-122,field_property,1.0,1.0,1.0,fam-parking-lot,fam-temperature-sensor
vct-362,validation,vct-132,field_property,1.0,1.0,1.0,fam-parking-lot,fam-smartphone-battery
vct-362,validation,vct-142,field_property,1.0,1.0,1.0,fam-parking-lot,fam-pet-care
vct-362,validation,vct-152,field_property,1.0,1.0,1.0,fam-parking-lot,fam-flight-ticket
vct-362,validation,vct-162,field_property,1.0,1.0,1.0,fam-parking-lot,fam-hotel-room
vct-362,validation,vct-172,field_property,1.0,1.0,1.0,fam-parking-lot,fam-movie-ticket
vct-362,validation,vct-182,field_property,1.0,1.0,1.0,fam-parking-lot,fam-wallet-balance
vct-362,validation,vct-192,field_property,1.0,1.0,1.0,fam-parking-lot,fam-timer-stopwatch
vct-362,validation,vct-202,field_property,1.0,1.0,1.0,fam-parking-lot,fam-game-character
vct-362,validation,vct-212,field_property,1.0,1.0,1.0,fam-parking-lot,fam-vehicle-speed
vct-362,validation,vct-222,field_property,1.0,1.0,1.0,fam-parking-lot,fam-laptop-spec
vct-362,validation,vct-232,field_property,1.0,1.0,1.0,fam-parking-lot,fam-music-track
vct-362,validation,vct-242,field_property,1.0,1.0,1.0,fam-parking-lot,fam-classroom-seat
vct-362,validation,vct-252,field_property,1.0,1.0,1.0,fam-parking-lot,fam-medical-record
vct-362,validation,vct-262,field_property,1.0,1.0,1.0,fam-parking-lot,fam-coffee-order
vct-362,validation,vct-272,field_property,1.0,1.0,1.0,fam-parking-lot,fam-vending-machine
vct-362,validation,vct-282,field_property,1.0,1.0,1.0,fam-parking-lot,fam-parcel-shipping
vct-362,validation,vct-292,field_property,1.0,1.0,1.0,fam-parking-lot,fam-elevator-controller
vct-362,validation,vct-302,field_property,1.0,1.0,1.0,fam-parking-lot,fam-thermostat-climate
vct-362,validation,vct-312,field_property,1.0,1.0,1.0,fam-parking-lot,fam-fitness-tracker
vct-362,validation,vct-322,field_property,1.0,1.0,1.0,fam-parking-lot,fam-recipe-ingredient
